1396206965161,255,0,0
1396206966788,255,19,0
1396206967780,255,19,0
1396206968792,255,19,0
1396206969780,255,19,0
1396206970803,255,19,0
1396206971797,255,19,0
1396206972782,255,19,0
1396206973804,255,19,0
1396206974794,255,19,0
1396206975785,255,19,0
1396206976785,255,19,0
1396206977787,255,19,0
1396206978779,255,19,0
1396206979792,255,19,0
1396206980793,255,19,0
1396206981780,255,19,0
1396206982798,255,19,0
1396206983791,255,19,0
1396206984789,255,19,0
1396206985779,255,19,0
1396206986838,255,19,0
1396206987791,255,19,0
1396206988790,255,19,0
1396206989798,255,19,0
1396206990875,255,19,0
1396206991788,255,19,0
1396206992786,255,19,0
1396206993811,255,19,0
1396206994817,255,19,0
