1392735206023565817,1,185.45868,7.698098,74.60105,
1392735206033453513,1,185.48123,7.736199,74.68753,
1392735206042028952,1,185.47011,7.7722363,74.75392,
1392735206045843649,1,185.48526,7.7839384,74.776535,
1392735206052130270,1,185.5228,7.791353,74.802505,
1392735206072912741,1,185.73895,7.70236,74.80103,
1392735206080359030,1,185.81929,7.6478443,74.79243,
1392735206098608542,1,186.09709,7.4832735,74.7999,
1392735206106237936,1,186.1768,7.400408,74.81415,
1392735206112677145,1,186.27747,7.313691,74.821655,
1392735206126501608,1,186.45789,7.1075487,74.8231,
1392735206132849264,1,186.56726,7.0010805,74.827896,
1392735206141272116,1,186.69043,6.8887067,74.84171,
1392735206147314597,1,186.7504,6.806163,74.85138,
1392735206153692770,1,186.85373,6.717373,74.86462,
1392735206157721091,1,186.91254,6.669833,74.8847,
1392735206161749411,1,186.97775,6.6179676,74.90499,
1392735206167608786,1,187.03441,6.548915,74.928734,
1392735206175238180,1,187.13945,6.4778304,74.95405,
1392735206179419089,1,187.20145,6.4374332,74.97393,
1392735206188635397,1,187.28226,6.3745747,74.99097,
1392735206198523093,1,187.41539,6.298265,74.98589,
1392735206202612448,1,187.49019,6.2444386,74.9699,
1392735206208380270,1,187.54651,6.1803184,74.94619,
1392735206214666891,1,187.66887,6.08549,74.908676,
1392735206218786764,1,187.767,6.005146,74.88038,
1392735206222937155,1,187.85692,5.933753,74.85102,
1392735206228827048,1,187.94257,5.8396077,74.812065,
1392735206235449362,1,188.04562,5.767826,74.77948,
1392735206247778464,1,188.1351,5.704225,74.72566,
1392735206254126120,1,188.15901,5.7130604,74.71145,
1392735206262396384,1,188.15605,5.7595296,74.69405,
1392735206268347311,1,188.161,5.747973,74.69993,
1392735206275183249,1,188.2316,5.7061377,74.71233,
1392735206282721091,1,188.27672,5.6552334,74.733215,
1392735206286932516,1,188.34555,5.601068,74.748985,
1392735206292791891,1,188.42432,5.544811,74.77396,
1392735206297003317,1,188.5024,5.483738,74.7998,
1392735206301123190,1,188.56068,5.443999,74.82144,
1392735206307013083,1,188.58473,5.414953,74.85367,
1392735206313452292,1,188.6448,5.3887973,74.881325,
1392735206321539450,1,188.69978,5.380165,74.89957,
1392735206327429343,1,188.70396,5.3771324,74.902145,
1392735206333685446,1,188.7516,5.3656626,74.89199,
1392735206342169333,1,188.79675,5.368339,74.87011,
1392735206348120261,1,188.8083,5.354808,74.85279,
1392735206354528952,1,188.8277,5.3700285,74.84085,
1392735206362585593,1,188.82776,5.41184,74.83376,
1392735206368414450,1,188.81044,5.422436,74.834465,
1392735206375830222,1,188.82664,5.4394064,74.84723,
1392735206380041647,1,188.83942,5.4445825,74.85889,
1392735206391821432,1,188.8595,5.441806,74.889534,
1392735206398504782,1,188.89528,5.4340115,74.90718,
1392735206402594138,1,188.9401,5.404253,74.91971,
1392735206413610983,1,189.00739,5.336809,74.939644,
1392735206417761374,1,189.03676,5.318001,74.94186,
1392735206426245261,1,189.10303,5.266102,74.93069,
1392735206432623434,1,189.15883,5.2177215,74.91827,
1392735206436682272,1,189.19278,5.1884303,74.91569,
1392735206444006491,1,189.2264,5.130479,74.90422,
1392735206448156882,1,189.27501,5.088247,74.90145,
1392735206453955222,1,189.35081,5.023496,74.8999,
1392735206461767722,1,189.50737,4.8846693,74.90296,
1392735206467199850,1,189.5825,4.791372,74.90676,
1392735206473425436,1,189.70288,4.694574,74.90986,
1392735206479132223,1,189.81659,4.6062512,74.91288,
1392735206484259177,1,189.89177,4.5204062,74.909225,
1392735206488073874,1,189.9844,4.446351,74.906555,
1392735206493933249,1,190.12396,4.3356442,74.89546,
1392735206497808981,1,190.21864,4.260062,74.88581,
1392735206503302145,1,190.30875,4.161565,74.87365,
1392735206513189841,1,190.52635,3.9896615,74.839,
1392735206522284079,1,190.70876,3.8058102,74.81926,
1392735206527563620,1,190.83252,3.6986012,74.81043,
1392735206537176657,1,191.07033,3.485584,74.7982,
1392735206547766257,1,191.2515,3.29523,74.7851,
1392735206558599997,1,191.40959,3.1644566,74.772736,
1392735206568029929,1,191.43521,3.123185,74.75337,
1392735206603521872,1,191.47012,2.9767745,74.81136,
1392735206609442282,1,191.424,2.9688942,74.8292,
1392735206615271139,1,191.39479,2.981699,74.831406,
1392735206619848776,1,191.37404,2.9885454,74.830315,
1392735206623693991,1,191.34344,3.007485,74.822914,
1392735206629797507,1,191.32579,2.9684854,74.8103,
1392735206635748434,1,191.36131,2.914836,74.79556,
1392735206644049216,1,191.45996,2.7933445,74.7922,
1392735206650213766,1,191.44466,2.758011,74.78878,
1392735206656134177,1,191.45398,2.7341535,74.78889,
1392735206660864401,1,191.44792,2.727974,74.79354,
1392735206664618063,1,191.44296,2.7227356,74.79992,
1392735206670019675,1,191.37732,2.7385077,74.806915,
1392735206676489401,1,191.3454,2.7556067,74.81071,
1392735206684149313,1,191.25471,2.7951286,74.80694,
1392735206689032126,1,191.21748,2.8231535,74.804054,
1392735206698370505,1,191.15273,2.8697402,74.804634,
1392735206705694723,1,191.05112,2.9196365,74.81039,
1392735206710241843,1,191.0029,2.9565039,74.82291,
1392735206741217184,1,190.304,3.5599515,74.87845,
1392735206751013327,1,190.03673,3.7830625,74.85985,
1392735206761786032,1,189.87546,3.9375005,74.81753,
1392735206765631247,1,189.8362,3.9735973,74.79744,
1392735206771185446,1,189.76233,4.0046315,74.77558,
1392735206782049704,1,189.73117,4.0135655,74.74199,
1392735206787848044,1,189.69829,3.9951456,74.72752,
1392735206798651266,1,189.73596,3.917555,74.7271,
