1392735204471,255,0,0
1392735207365,255,22,0
1392735208030,255,22,0
1392735209005,255,22,0
1392735209984,255,22,0
1392735211026,255,22,0
1392735212032,255,22,0
1392735213390,255,22,0
1392735214388,255,22,0
1392735215054,255,22,0
1392735216155,255,22,0
1392735217066,255,22,0
1392735218017,255,22,0
1392735219123,255,22,0
1392735220024,255,22,0
1392735221039,255,22,0
1392735222144,255,22,0
1392735222991,255,22,0
1392735224124,255,22,0
1392735225030,255,22,0
1392735226006,255,22,0
1392735227059,255,22,0
1392735228079,255,22,0
1392735228999,255,22,0
1392735230005,255,22,0
1392735231028,255,22,0
1392735232007,255,22,0
1392735233015,255,22,0
1392735234016,255,22,0
