1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 1 24 25 1 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 1 24 25 1 27 28 29 30 2 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 1 24 25 1 27 3 29 30 2 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 2 3 39 5 6 7 8 39 10 11 12 13 14 15 16 17 18 19 20 21 22 1 24 25 1 27 3 29 30 2 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 2 3 39 15 6 7 8 39 10 11 12 13 14 15 15 17 18 19 20 21 22 1 24 15 1 27 3 29 30 2 32 33 34 35 36 37 38 39 40 15 42 43 44 45 46 47 48 49 50 
1 2 3 39 15 6 7 8 39 10 11 12 13 14 15 15 17 18 19 20 21 22 1 24 15 1 27 3 29 30 2 6 33 34 35 36 37 38 39 40 15 42 43 44 45 46 47 48 49 50 
1 2 3 39 30 6 30 8 39 10 11 12 13 14 30 30 17 18 19 20 21 22 1 24 30 1 27 3 29 30 2 6 33 34 35 30 37 38 39 40 30 42 43 44 45 46 47 48 49 50 
1 2 3 39 30 6 30 8 39 10 11 12 13 14 30 30 17 18 19 20 21 39 1 24 30 1 27 3 29 30 2 6 33 34 35 30 37 38 39 40 30 42 43 44 45 46 47 48 49 50 
1 2 3 39 30 6 30 8 39 13 11 12 13 14 30 30 17 18 19 20 21 39 1 24 30 1 27 3 29 30 2 6 33 34 35 30 37 38 39 40 30 42 43 44 45 13 47 48 49 50 
1 2 3 39 11 6 11 8 39 13 11 12 13 14 11 11 17 18 19 20 21 39 1 24 11 1 27 3 29 11 2 6 33 34 35 11 37 38 39 40 11 42 43 44 45 13 47 48 49 50 
1 2 3 39 11 6 11 8 39 13 11 12 13 14 11 11 17 18 19 20 21 39 1 24 11 1 27 3 29 11 2 6 33 34 35 11 37 38 39 40 11 42 43 44 45 13 47 48 49 50 
1 2 3 39 11 6 11 8 39 13 11 12 13 14 11 11 17 18 19 20 21 39 1 24 11 1 27 3 29 11 2 6 33 34 35 11 37 38 39 40 11 42 43 44 45 13 47 48 49 50 
1 1 3 1 1 6 1 1 1 13 1 12 13 1 1 1 17 18 19 20 21 1 1 24 1 1 27 3 29 1 1 6 33 34 35 1 1 38 1 40 1 42 43 44 45 13 47 48 49 50 
1 1 3 1 1 6 1 1 1 13 1 12 13 1 1 1 17 18 19 20 21 1 1 24 1 1 27 3 29 1 1 6 33 34 35 1 1 38 1 40 1 42 43 44 45 13 47 48 49 50 
1 1 3 1 1 6 1 1 1 1 1 12 1 1 1 1 1 18 19 20 21 1 1 24 1 1 27 3 29 1 1 6 33 34 35 1 1 38 1 40 1 42 43 44 45 1 47 48 49 50 
18 18 18 18 18 6 18 18 18 18 18 12 18 18 18 18 18 18 19 20 21 18 18 24 18 18 27 18 29 18 18 6 33 34 35 18 18 38 18 40 18 42 43 44 45 18 47 48 49 50 
18 18 18 18 18 6 18 18 18 18 18 12 18 18 18 18 18 18 19 20 21 18 18 24 18 18 27 18 29 18 18 6 33 34 35 18 18 38 18 19 18 42 43 44 45 18 47 48 49 50 
20 20 20 20 20 6 20 20 20 20 20 12 20 20 20 20 20 20 20 20 21 20 20 24 20 20 27 20 29 20 20 6 33 34 35 20 20 38 20 20 20 42 43 44 45 20 47 48 49 50 
47 47 47 47 47 6 47 47 47 47 47 12 47 47 47 47 47 47 47 47 21 47 47 24 47 47 27 47 29 47 47 6 33 34 35 47 47 38 47 47 47 42 43 44 45 47 47 48 49 50 
24 24 24 24 24 6 24 24 24 24 24 12 24 24 24 24 24 24 24 24 21 24 24 24 24 24 27 24 29 24 24 6 33 34 35 24 24 38 24 24 24 42 43 44 45 24 24 48 49 50 
49 49 49 49 49 49 49 49 49 49 49 12 49 49 49 49 49 49 49 49 21 49 49 49 49 49 27 49 29 49 49 49 33 34 35 49 49 38 49 49 49 42 43 44 45 49 49 48 49 50 
50 50 50 50 50 50 50 50 50 50 50 12 50 50 50 50 50 50 50 50 21 50 50 50 50 50 27 50 29 50 50 50 33 34 35 50 50 38 50 50 50 42 43 44 45 50 50 48 50 50 
27 27 27 27 27 27 27 27 27 27 27 12 27 27 27 27 27 27 27 27 21 27 27 27 27 27 27 27 29 27 27 27 27 34 35 27 27 27 27 27 27 42 43 44 45 27 27 48 27 27 
27 27 27 27 27 27 27 27 27 27 27 12 27 27 27 27 27 27 27 27 21 27 27 27 27 27 27 27 29 27 27 27 27 34 35 27 27 27 27 27 27 42 43 44 45 27 27 48 27 27 
27 27 27 27 27 27 27 27 27 27 27 12 27 27 27 27 27 27 27 27 21 27 27 27 27 27 27 27 27 27 27 27 27 34 35 27 27 27 27 27 27 42 43 44 45 27 27 48 27 27 
44 44 44 44 44 44 44 44 44 44 44 12 44 44 44 44 44 44 44 44 21 44 44 44 44 44 44 44 44 44 44 44 44 34 35 44 44 44 44 44 44 42 43 44 45 44 44 48 44 44 
44 44 44 44 44 44 44 44 44 44 44 12 44 44 44 44 44 44 44 44 21 44 44 44 44 44 44 44 44 44 44 44 44 34 35 44 44 44 44 44 44 42 43 44 45 44 44 48 44 44 
44 44 44 44 44 44 44 44 44 44 44 12 44 44 44 44 44 44 44 44 21 44 44 44 44 44 44 44 44 44 44 44 44 34 35 44 44 44 44 44 44 42 43 44 45 44 44 48 44 44 
45 45 45 45 45 45 45 45 45 45 45 12 45 45 45 45 45 45 45 45 21 45 45 45 45 45 45 45 45 45 45 45 45 45 35 45 45 45 45 45 45 42 43 45 45 45 45 48 45 45 
35 35 35 35 35 35 35 35 35 35 35 12 35 35 35 35 35 35 35 35 21 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 42 43 35 35 35 35 48 35 35 
35 35 35 35 35 35 35 35 35 35 35 12 35 35 35 35 35 35 35 35 21 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 42 43 35 35 35 35 48 35 35 
35 35 35 35 35 35 35 35 35 35 35 12 35 35 35 35 35 35 35 35 21 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 42 43 35 35 35 35 48 35 35 
35 35 35 35 35 35 35 35 35 35 35 12 35 35 35 35 35 35 35 35 21 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 42 43 35 35 35 35 48 35 35 
35 35 35 35 35 35 35 35 35 35 35 12 35 35 35 35 35 35 35 35 21 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 42 43 35 35 35 35 48 35 35 
35 35 35 35 35 35 35 35 35 35 35 12 35 35 35 35 35 35 35 35 21 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 42 43 35 35 35 35 48 35 35 
42 42 42 42 42 42 42 42 42 42 42 12 42 42 42 42 42 42 42 42 21 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 43 42 42 42 42 48 42 42 
42 42 42 42 42 42 42 42 42 42 42 12 42 42 42 42 42 42 42 42 21 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 43 42 42 42 42 48 42 42 
43 43 43 43 43 43 43 43 43 43 43 12 43 43 43 43 43 43 43 43 21 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 48 43 43 
43 43 43 43 43 43 43 43 43 43 43 12 43 43 43 43 43 43 43 43 21 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 48 43 43 
43 43 43 43 43 43 43 43 43 43 43 12 43 43 43 43 43 43 43 43 21 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 48 43 43 
43 43 43 43 43 43 43 43 43 43 43 12 43 43 43 43 43 43 43 43 21 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 48 43 43 
43 43 43 43 43 43 43 43 43 43 43 12 43 43 43 43 43 43 43 43 21 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 48 43 43 
