1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
15 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 15 28 29 30 
15 8 3 4 5 6 7 8 9 10 8 12 13 14 15 16 17 18 19 20 21 22 23 8 25 26 15 28 29 30 
15 8 25 4 5 6 25 8 9 10 8 12 13 14 15 16 17 18 19 20 21 22 23 8 25 26 15 28 29 30 
15 8 8 8 5 6 8 8 9 10 8 12 13 14 15 16 17 18 19 20 21 22 23 8 8 26 15 28 29 30 
15 8 8 8 8 6 8 8 9 10 8 12 13 14 15 16 17 18 19 20 21 22 23 8 8 26 15 28 29 8 
15 8 8 8 8 6 8 8 9 10 8 12 13 14 15 16 17 18 19 20 21 22 23 8 8 26 15 28 29 8 
15 15 15 15 15 6 15 15 9 10 15 12 13 14 15 16 15 18 19 20 21 22 23 15 15 26 15 28 29 15 
15 15 15 15 15 6 15 15 9 10 15 12 13 14 15 16 15 18 19 20 21 22 23 15 15 15 15 28 29 15 
15 15 15 15 15 6 15 15 23 10 15 12 13 14 15 16 15 18 19 20 21 22 23 15 15 15 15 28 29 15 
21 21 21 21 21 6 21 21 23 21 21 12 13 14 21 16 21 18 19 20 21 22 23 21 21 21 21 28 29 21 
22 22 22 22 22 22 22 22 22 22 22 12 13 14 22 16 22 22 19 20 22 22 22 22 22 22 22 28 29 22 
13 13 13 13 13 13 13 13 13 13 13 12 13 14 13 16 13 13 19 20 13 13 13 13 13 13 13 28 29 13 
13 13 13 13 13 13 13 13 13 13 13 12 13 14 13 16 13 13 19 20 13 13 13 13 13 13 13 28 29 13 
13 13 13 13 13 13 13 13 13 13 13 12 13 14 13 16 13 13 19 20 13 13 13 13 13 13 13 28 29 13 
16 16 16 16 16 16 16 16 16 16 16 12 16 14 16 16 16 16 19 20 16 16 16 16 16 16 16 28 29 16 
16 16 16 16 16 16 16 16 16 16 16 12 16 14 16 16 16 16 19 20 16 16 16 16 16 16 16 28 29 16 
12 12 12 12 12 12 12 12 12 12 12 12 12 14 12 12 12 12 19 20 12 12 12 12 12 12 12 28 12 12 
19 19 19 19 19 19 19 19 19 19 19 19 19 14 19 19 19 19 19 20 19 19 19 19 19 19 19 28 19 19 
28 28 28 28 28 28 28 28 28 28 28 28 28 14 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 
28 28 28 28 28 28 28 28 28 28 28 28 28 14 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 
28 28 28 28 28 28 28 28 28 28 28 28 28 14 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 
28 28 28 28 28 28 28 28 28 28 28 28 28 14 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 
28 28 28 28 28 28 28 28 28 28 28 28 28 14 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 
28 28 28 28 28 28 28 28 28 28 28 28 28 14 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 
28 28 28 28 28 28 28 28 28 28 28 28 28 14 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 
28 28 28 28 28 28 28 28 28 28 28 28 28 14 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 
