1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1 2 3 1 5 6 7 8 1 10 11 12 13 14 15 16 17 18 19 20 
1 2 3 1 2 6 7 8 1 10 11 12 13 14 2 16 17 18 19 20 
1 2 16 1 2 6 7 8 1 10 11 12 13 14 2 16 17 18 19 20 
8 2 16 8 2 6 7 8 8 10 11 12 13 14 2 16 17 8 19 20 
8 14 16 8 14 6 14 8 8 10 11 12 13 14 14 16 17 8 19 20 
6 14 16 6 14 6 14 6 6 10 11 12 13 14 14 16 17 6 6 20 
14 14 16 14 14 14 14 14 14 10 11 12 13 14 14 16 17 14 14 20 
14 14 16 14 14 14 14 14 14 10 11 12 13 14 14 16 17 14 14 20 
14 14 16 14 14 14 14 14 14 10 11 12 13 14 14 16 17 14 14 20 
10 10 10 10 10 10 10 10 10 10 11 12 13 10 10 10 17 10 10 20 
11 11 11 11 11 11 11 11 11 11 11 12 13 11 11 11 17 11 11 20 
12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 17 12 12 20 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 12 12 20 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 12 12 20 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 12 12 20 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 12 12 20 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 12 12 20 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 12 12 20 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 12 12 20 
