1396205950460494920,15,0.4204594,0.40276232,0.59437644,0.5547189,
1396205950480636522,9,0.4207682,0.4024303,0.5943119,0.55479485,
1396205950500778123,106,0.42106423,0.402366,0.59418315,0.55475485,
1396205950520919725,5,0.42126694,0.40246943,0.5940462,0.55467254,
1396205950541000291,38,0.42123365,0.40267304,0.5940012,0.5545982,
1396205950561202928,77,0.42112717,0.40302464,0.5939928,0.5544327,
1396205950581375047,84,0.42125407,0.403365,0.5938565,0.55423474,
1396205950601516649,85,0.42150065,0.40355185,0.5936684,0.55411273,
1396205950621658250,-123,0.42173344,0.40361482,0.5935145,0.55405456,
1396205950641738817,79,0.4219018,0.4035339,0.5934386,0.5540666,
1396205950661941453,89,0.4218752,0.40344626,0.59350234,0.55408245,
1396205950682083055,85,0.42177737,0.4035007,0.59353507,0.5540822,
1396205950702224656,-50,0.42166483,0.40358543,0.5935649,0.55407417,
1396205950722366258,-90,0.42160395,0.40357175,0.593577,0.55411756,
1396205950742446824,69,0.4215887,0.40353182,0.5936061,0.55412704,
1396205950762649461,-87,0.4215804,0.40353107,0.593607,0.554133,
1396205950782791063,-48,0.42169166,0.4035391,0.5935061,0.5541506,
1396205950802902147,-91,0.42171323,0.4035342,0.5933967,0.55425483,
1396205950823074266,123,0.4215466,0.40349245,0.59338903,0.5544202,
1396205950843154832,-114,0.42143154,0.40344167,0.5934187,0.55451286,
1396205950863357469,-45,0.42143372,0.40335312,0.5933594,0.55463904,
1396205950883499070,0,0.4215859,0.40290272,0.5933551,0.55485535,
1396205950903640672,36,0.42160547,0.4023331,0.59349734,0.55510163,
1396205950923782274,13,0.42137703,0.4019089,0.59377694,0.55528337,
1396205950943862840,-86,0.42120618,0.4017373,0.5939056,0.55539954,
1396205950964065477,50,0.4213036,0.40205777,0.5937832,0.55522454,
1396205950984207078,-72,0.4214404,0.4025095,0.5935295,0.5550647,
1396205951004348680,86,0.4215252,0.40285227,0.59328496,0.55501306,
1396205951024490281,67,0.42165136,0.40308118,0.5930551,0.55499667,
1396205951044631883,-47,0.42209664,0.40327844,0.59275335,0.5548373,
1396205951064742967,6,0.42251712,0.4034371,0.5924856,0.55468786,
