red,all,match1,wifi,match2,nowifi
0.25,15,5,0.333333333,5,0.333333333
0.50,46,17,0.369565217,16,0.347826087
0.75,71,29,0.408450704,25,0.352112676
1.00,97,50,0.515463918,48,0.494845361
1.25,113,68,0.601769912,70,0.619469027
1.50,112,83,0.741071429,72,0.642857143
1.75,146,120,0.821917808,102,0.698630137
2.00,202,178,0.881188119,125,0.618811881
2.25,221,198,0.895927602,137,0.619909502
